Gen_Index,zone,capacity,Ramp_Rate,Ramp_Start,Ramp_Shutdown
Sammis B1,EAST,2.6,0.52,2.4699999999999998,0.26
Sammis 4,EAST,180.0,36.0,171.0,18.0
Sammis B4,EAST,3.0,0.6000000000000001,2.8499999999999996,0.30000000000000004
Sammis 7,EAST,600.0,120.0,570.0,60.0
West Lorain 2,EAST,0.0,18.0,85.5,9.0
West Lorain A (Beaver),EAST,0.0,12.8,60.8,6.4
West Lorain 4,EAST,0.0,18.0,85.5,9.0
West Lorain B (Beaver),EAST,0.0,12.8,60.8,6.4
West Lorain 5,EAST,0.0,18.0,85.5,9.0
West Lorain 3,EAST,0.0,18.0,85.5,9.0
West Lorain 6,EAST,0.0,18.0,85.5,9.0
Muskigum Rv 1,EAST,203.1,40.620000000000005,192.945,20.310000000000002
Muskigum Rv 2,EAST,200.1,40.02,190.095,20.01
Muskigum Rv 4,EAST,210.1,42.02,199.595,21.01
Muskigum Rv 5,EAST,600.0,120.0,570.0,60.0
Muskigum Rv 3,EAST,210.1,42.02,199.595,21.01
Kyger Creek 5,EAST,205.0,41.0,194.75,20.5
Kyger Creek 1,EAST,205.0,41.0,194.75,20.5
Kyger Creek 3,EAST,205.0,41.0,194.75,20.5
Kyger Creek 2,EAST,205.0,41.0,194.75,20.5
Kyger Creek 4,EAST,205.0,41.0,194.75,20.5
Bay Shore 1,EAST,0.0,30.0,142.5,15.0
Bay Shore CT,EAST,0.0,3.6,17.099999999999998,1.8
Richland 6,EAST,135.0,27.0,128.25,13.5
Richland 2,EAST,15.0,3.0,14.25,1.5
Richland 5,EAST,135.0,27.0,128.25,13.5
Richland 4,EAST,135.0,27.0,128.25,13.5
