Gen_Index,Fuel_Cost	,Pmin,start_cost,Can_Spin,Min_Up,Min_Down
Hunterstown 2,748.3453805223,0.25,675.0,1,2,1
Hunterstown 1,748.3453805223,0.25,675.0,1,2,1
Mountain 2,76.753602814185,0.25,675.0,1,2,1
Mountain 1,76.753602814185,0.25,675.0,1,2,1
Orrtanna 1,105.416618885325,0.25,650.0,1,2,1
Portland 4,138.959803125,0.25,650.0,1,2,1
Portland 1,59.548125,0.4,15800.0,1,6,6
Portland 2,59.548125,0.4,24300.0,1,6,6
Portland 3,138.959803125,0.25,475.0,1,2,1
Portland 5,138.959803125,0.25,3900.0,1,2,1
Shawnee 1,49.414422514545,0.25,650.0,1,2,1
Titus 5,49.414422514545,0.25,500.0,1,2,1
Titus 4,49.414422514545,0.25,475.0,1,2,1
Tolna 2,360.7993125,0.25,675.0,1,2,1
Tolna 1,360.7993125,0.25,675.0,1,2,1
York Haven Hydro,0.0,0.0,0.0,1,10,8
Conemaugh Diesel B,125.98704545700001,0.25,75.0,1,2,1
Conemaugh Diesel D,125.98704545700001,0.25,75.0,1,2,1
Conemaugh Diesel A,125.98704545700001,0.25,75.0,1,2,1
Conemaugh 2,20.351753496900002,0.4,85000.0,1,6,6
Conemaugh Diesel C,125.98704545700001,0.25,75.0,1,2,1
Conemaugh 1,20.351753496900002,0.4,85040.0,1,6,6
Blossburg CT,83.74292707077,0.25,650.0,1,2,1
Homer City 3,22.127696976000003,0.4,65000.0,1,6,6
Homer City 2,22.127696976000003,0.4,61400.0,1,6,6
Homer City 1,22.127696976000003,0.4,62000.0,1,6,6
Piney 2,0.0,0.0,0.0,1,10,8
Piney 1,0.0,0.0,0.0,1,10,8
Piney 3,0.0,0.0,0.0,1,10,8
